id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
UCwrVZxzfJ2s3JycGqfNiV1A,13,,false,,4575,264,731651
UChN3MPAc_4Qa-xkM0ZQiVbg,0,,false,,760000,109,91170677
tejKfyWFni8,580,31,,3338,,,29925
wM9KZ27-Wt0,50,8,,276,,,2532
nwmPaqF0UY4,2496,93,,27478,,,139633
,,,,,,,
KV8adGA-kEw,59,5,,449,,,8394
UCWxFYv7xfPQVx5yzjpJX33w,10,,false,,146281,49,41893724
UCz4KOMvQKi0su0Ra12NMw4Q,0,,false,,1960,7,262278
UCO7vT4IiDqb1Ry8kSDCiRNw,1164,,false,,52779,175,4948691
UCzRZqKUWLYRnaIyfNqU5yZw,111,,false,,47965,349,5101290
UCS1aK3ec34NQPze1HLkjK2Q,0,,false,,211152,45,165684729
UCAGAOPDZjKDIkzV1iRXF5HQ,185,,false,,6164,613,1175588
UCpYwuXwjTQfMA67gFa5rsmg,3,,false,,266683,859,160284795
UCUO6BhjEfP1zWoNX1Vt5qxA,2,,false,,13165,21,3616581
UCE49dGs3O9g19FB5KeSmQ2A,0,,false,,5774,80,2774713
UC0D2oA_HQucQ7zaWhPG4xDQ,4,,false,,33403,44,33690708
,,,,,,,
AUHDf6RxtXs,8,2,,48,,,2130
UC_oIAhHk_bAb7gTOCu8syEg,0,,false,,2215,8,1110716
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
eSNzcBli0vk,305,32,,2342,,,21813
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
k1aJsqEXT9g,279,117,,1912,,,27338
,,,,,,,
,,,,,,,
oOCteLBWTEM,5,0,,10,,,504
zngd7N0K8gY,2,3,,64,,,958
7owlVT0IWHw,33,2,,261,,,6241
RhyDvOY-_jw,25,30,,1187,,,32271
REi0aIiWjic,1930,177,,17955,,,185039
AFdB5fveslI,96,18,,824,,,8441
42Ufgq1oeq4,417,83,,4789,,,74869
PL00em1Ugyc,6,1,,199,,,3554
gqwRPgY9eMw,8,0,,27,,,139
EusXyFCvx9Y,24,17,,151,,,2216
UCxAS_aK7sS2x_bqnlJHDSHw,59,,false,,368129,400,75181515
UChdu6L4XoQU1yqX6jGCaRPw,1,,false,,1601620,342,91705577
UCn-wB_7gkXqDmnT0GiUySkQ,0,,false,,162197,302,26517538
UCZpVwvKw7EI8ga2e6Ohnxqw,0,,false,,17749,0,0
UCkfTm3HfC4Fqr5dTPJHc9Fg,4,,false,,316405,110,16525313
UC-jKeDotSguDWR2sRrbAmEg,0,,true,,0,230,192977
UCAlvTLm1bGkNTt2pfujgbWg,0,,false,,60474,18,39964016
UCkyL83y9cXkKvvWcvpUKfmw,0,,false,,2046,48,877297
UC9QgouA5IdEMZ-gmKz6av4Q,0,,false,,9449,10,114701
UCQ5B5gP6NtGK_q9MRjojEIQ,0,,false,,99265,260,8261059
2SeXEz_yHW4,68,13,,445,,,7233
3-5CbzCncSY,2736,980,,34259,,,727754
UCBEsXEBydv_YO45TnhqPTDQ,53,,false,,310288,399,16599793
UCFOXvT7XDnNJIH7oR21iuJg,255,,false,,85,45,122395
UCdEAt5IDfLv6bSPWCmB-DfQ,0,,false,,343,85,54586
SCPW2qoXztI,24,4,,44,,,909
IV7nNAqppiw,5,7,,158,,,2090
h6LNMhHCMrc,672,822,,16609,,,268278
zQFw57nIkkc,893,367,,7583,,,360786
7WVJE495aRo,132,11,,725,,,10222
,,,,,,,
